Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4676E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	15E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-264.000E-3	-551.803E-12	10.9345E-12	-553.690E-12	10.9307E-12
-262.000E-3	-546.957E-12	11.7646E-12	-549.001E-12	11.7695E-12
-260.000E-3	-541.539E-12	12.7117E-12	-543.737E-12	12.7626E-12
-258.000E-3	-536.093E-12	13.7527E-12	-538.386E-12	13.8752E-12
-256.000E-3	-529.775E-12	14.7397E-12	-531.746E-12	14.8145E-12
-254.000E-3	-523.489E-12	15.8413E-12	-525.764E-12	15.9233E-12
-252.000E-3	-516.535E-12	16.7321E-12	-518.278E-12	16.9768E-12
-250.000E-3	-509.531E-12	17.7033E-12	-511.403E-12	17.7749E-12
-248.000E-3	-501.696E-12	18.4225E-12	-503.341E-12	18.4078E-12
-246.000E-3	-493.975E-12	18.9355E-12	-495.793E-12	18.9861E-12
-244.000E-3	-485.846E-12	19.1364E-12	-487.257E-12	19.1211E-12
-242.000E-3	-478.198E-12	19.1241E-12	-479.697E-12	19.1929E-12
-240.000E-3	-470.094E-12	18.7692E-12	-471.289E-12	18.7716E-12
-238.000E-3	-462.624E-12	18.1438E-12	-464.031E-12	18.0681E-12
-236.000E-3	-455.018E-12	17.0433E-12	-456.370E-12	17.2405E-12
-234.000E-3	-448.061E-12	16.0770E-12	-449.757E-12	16.0574E-12
-232.000E-3	-441.304E-12	14.8113E-12	-442.866E-12	14.9626E-12
-230.000E-3	-435.144E-12	13.7271E-12	-436.996E-12	13.8778E-12
-228.000E-3	-429.479E-12	12.7765E-12	-431.096E-12	12.7419E-12
-226.000E-3	-424.207E-12	11.8626E-12	-426.166E-12	12.0107E-12
-224.000E-3	-419.275E-12	11.0577E-12	-421.161E-12	11.0751E-12
-222.000E-3	-414.848E-12	10.2458E-12	-416.812E-12	10.2967E-12
-220.000E-3	-410.697E-12	9.67351E-12	-412.341E-12	9.50092E-12
-218.000E-3	-406.550E-12	9.02483E-12	-408.406E-12	9.15139E-12
-216.000E-3	-403.125E-12	8.55417E-12	-404.512E-12	8.50527E-12
-214.000E-3	-399.310E-12	8.21247E-12	-400.820E-12	8.23470E-12
-212.000E-3	-396.255E-12	7.82812E-12	-397.527E-12	7.85450E-12
-210.000E-3	-392.974E-12	7.63846E-12	-393.926E-12	7.57739E-12
-208.000E-3	-390.004E-12	7.28861E-12	-390.781E-12	7.29080E-12
-206.000E-3	-386.722E-12	7.07965E-12	-387.758E-12	7.16511E-12
-204.000E-3	-383.633E-12	7.00073E-12	-384.833E-12	7.04299E-12
-202.000E-3	-380.525E-12	6.98895E-12	-381.784E-12	7.05686E-12
-200.000E-3	-377.353E-12	7.13953E-12	-378.746E-12	7.06224E-12
-198.000E-3	-374.385E-12	7.20563E-12	-375.695E-12	7.15860E-12
-196.000E-3	-371.133E-12	7.21581E-12	-372.539E-12	7.34273E-12
-194.000E-3	-368.204E-12	7.43471E-12	-369.363E-12	7.48678E-12
-192.000E-3	-364.885E-12	7.45788E-12	-366.126E-12	7.54667E-12
-190.000E-3	-361.779E-12	7.50725E-12	-363.046E-12	7.69168E-12
-188.000E-3	-358.318E-12	7.61749E-12	-359.683E-12	7.63211E-12
-186.000E-3	-355.225E-12	7.66126E-12	-356.400E-12	7.68303E-12
-184.000E-3	-351.727E-12	7.73249E-12	-353.266E-12	7.72782E-12
-182.000E-3	-348.616E-12	7.81031E-12	-350.070E-12	7.80652E-12
-180.000E-3	-345.169E-12	7.81105E-12	-346.769E-12	7.87064E-12
-178.000E-3	-342.058E-12	7.80289E-12	-343.392E-12	8.01281E-12
-176.000E-3	-338.752E-12	7.89037E-12	-340.006E-12	7.97643E-12
-174.000E-3	-335.589E-12	8.00971E-12	-336.559E-12	7.97081E-12
-172.000E-3	-332.078E-12	8.10968E-12	-333.112E-12	8.04904E-12
-170.000E-3	-328.768E-12	8.04928E-12	-329.633E-12	8.02578E-12
-168.000E-3	-325.300E-12	7.88518E-12	-326.352E-12	7.94281E-12
-166.000E-3	-322.042E-12	7.84385E-12	-322.918E-12	7.81088E-12
-164.000E-3	-318.530E-12	7.54816E-12	-319.574E-12	7.56827E-12
-162.000E-3	-315.455E-12	7.36950E-12	-316.318E-12	7.48209E-12
-160.000E-3	-312.335E-12	7.26769E-12	-313.203E-12	7.28763E-12
-158.000E-3	-309.482E-12	7.04707E-12	-310.059E-12	6.98265E-12
-156.000E-3	-306.632E-12	6.79146E-12	-307.266E-12	6.85947E-12
-154.000E-3	-303.651E-12	6.69317E-12	-304.386E-12	6.72150E-12
-152.000E-3	-300.723E-12	6.54047E-12	-301.727E-12	6.58838E-12
-150.000E-3	-297.627E-12	6.44318E-12	-298.859E-12	6.43287E-12
-148.000E-3	-294.966E-12	6.36521E-12	-296.221E-12	6.34837E-12
-146.000E-3	-292.120E-12	6.21163E-12	-293.367E-12	6.30624E-12
-144.000E-3	-289.560E-12	6.14418E-12	-290.834E-12	6.29146E-12
-142.000E-3	-286.868E-12	6.24396E-12	-288.026E-12	6.26676E-12
-140.000E-3	-284.434E-12	6.20528E-12	-285.409E-12	6.23984E-12
-138.000E-3	-281.770E-12	6.13741E-12	-282.888E-12	6.20157E-12
-136.000E-3	-279.296E-12	6.25369E-12	-280.075E-12	6.33172E-12
-134.000E-3	-276.555E-12	6.31883E-12	-277.471E-12	6.30430E-12
-132.000E-3	-273.764E-12	6.35274E-12	-274.646E-12	6.43308E-12
-130.000E-3	-271.012E-12	6.37722E-12	-272.132E-12	6.45602E-12
-128.000E-3	-268.294E-12	6.51530E-12	-269.130E-12	6.50894E-12
-126.000E-3	-265.586E-12	6.49413E-12	-266.513E-12	6.55297E-12
-124.000E-3	-262.941E-12	6.60903E-12	-263.447E-12	6.65607E-12
-122.000E-3	-260.140E-12	6.79158E-12	-260.801E-12	6.82367E-12
-120.000E-3	-257.308E-12	6.86104E-12	-257.693E-12	6.94189E-12
-118.000E-3	-254.353E-12	7.04677E-12	-254.866E-12	6.92840E-12
